MA TRADER ||  2018-04-16T06:53 #:  0 {}
MA TRADER ||  2018-04-16T07:57 #:  0 {}
MA TRADER ||  2018-04-16T07:58 #:  0 {}
MA TRADER ||  2018-04-16T07:59 #:  0 {}
MA TRADER ||  2018-04-16T08:00 #:  0 {}
MA TRADER ||  2018-04-16T08:01 #:  0 {}
MA TRADER ||  2018-04-16T08:02 #:  0 {}
MA TRADER ||  2018-04-16T08:03 #:  0 {}
MA TRADER ||  2018-04-16T08:04 #:  0 {}
MA TRADER ||  2018-04-16T08:05 #:  0 {}
MA TRADER ||  2018-04-16T08:06 #:  0 {}
MA TRADER ||  2018-04-16T08:07 #:  0 {}
MA TRADER ||  2018-04-16T08:08 #:  0 {}
MA TRADER ||  2018-04-16T08:09 #:  0 {}
MA TRADER ||  2018-04-16T08:10 #:  0 {}
MA TRADER ||  2018-04-16T08:11 #:  0 {}
MA TRADER ||  2018-04-16T08:12 #:  0 {}
MA TRADER ||  2018-04-16T08:13 #:  0 {}
MA TRADER ||  2018-04-16T08:14 #:  0 {}
MA TRADER ||  2018-04-16T08:15 #:  0 {}
MA TRADER ||  2018-04-16T08:16 #:  0 {}
MA TRADER ||  2018-04-16T08:17 #:  0 {}
MA TRADER ||  2018-04-16T08:18 #:  0 {}
MA TRADER ||  2018-04-16T08:19 #:  0 {}
MA TRADER ||  2018-04-16T08:20 #:  0 {}
MA TRADER ||  2018-04-16T08:21 #:  0 {}
MA TRADER ||  2018-04-16T08:22 #:  0 {}
MA TRADER ||  2018-04-16T08:23 #:  0 {}
MA TRADER ||  2018-04-16T08:24 #:  0 {}
MA TRADER ||  2018-04-16T08:25 #:  0 {}
MA TRADER ||  2018-04-16T08:26 #:  0 {}
MA TRADER ||  2018-04-16T08:27 #:  0 {}
MA TRADER ||  2018-04-16T08:28 #:  0 {}
MA TRADER ||  2018-04-16T08:29 #:  0 {}
MA TRADER ||  2018-04-16T08:30 #:  0 {}
MA TRADER ||  2018-04-16T08:31 #:  0 {}
MA TRADER ||  2018-04-16T08:32 #:  0 {}
MA TRADER ||  2018-04-16T08:33 #:  0 {}
MA TRADER ||  2018-04-16T08:38 #:  0 {}
MA TRADER ||  2018-04-16T08:39 #:  0 {}
MA TRADER ||  2018-04-16T08:40 #:  0 {}
MA TRADER ||  2018-04-16T08:41 #:  0 {}
MA TRADER ||  2018-04-16T08:42 #:  0 {}
MA TRADER ||  2018-04-16T08:43 #:  0 {}
MA TRADER ||  2018-04-16T08:44 #:  0 {}
MA TRADER ||  2018-04-16T08:45 #:  0 {}
MA TRADER ||  2018-04-16T08:46 #:  0 {}
MA TRADER ||  2018-04-16T08:47 #:  0 {}
MA TRADER ||  2018-04-16T08:48 #:  0 {}
MA TRADER ||  2018-04-16T08:49 #:  0 {}
MA TRADER ||  2018-04-16T08:50 #:  0 {}
MA TRADER ||  2018-04-16T08:51 #:  0 {}
MA TRADER ||  2018-04-16T08:52 #:  0 {}
MA TRADER ||  2018-04-16T08:53 #:  0 {}
MA TRADER ||  2018-04-16T08:54 #:  0 {}
MA TRADER ||  2018-04-16T08:55 #:  0 {}
MA TRADER ||  2018-04-16T08:56 #:  0 {}
MA TRADER ||  2018-04-16T08:57 #:  0 {}
MA TRADER ||  2018-04-16T08:58 #:  0 {}
MA TRADER ||  2018-04-16T08:59 #:  0 {}
MA TRADER ||  2018-04-16T09:00 #:  0 {}
MA TRADER ||  2018-04-16T09:01 #:  0 {}
MA TRADER ||  2018-04-16T09:02 #:  0 {}
MA TRADER ||  2018-04-16T09:03 #:  0 {}
MA TRADER ||  2018-04-16T09:04 #:  0 {}
MA TRADER ||  2018-04-16T09:05 #:  0 {}
MA TRADER ||  2018-04-16T09:06 #:  0 {}
MA TRADER ||  2018-04-16T09:07 #:  0 {}
MA TRADER ||  2018-04-16T09:08 #:  0 {}
MA TRADER ||  2018-04-16T09:09 #:  0 {}
MA TRADER ||  2018-04-16T09:10 #:  0 {}
MA TRADER ||  2018-04-16T09:11 #:  0 {}
MA TRADER ||  2018-04-16T09:12 #:  0 {}
MA TRADER ||  2018-04-16T09:13 #:  0 {}
MA TRADER ||  2018-04-16T09:14 #:  0 {}
MA TRADER ||  2018-04-16T09:15 #:  0 {}
MA TRADER ||  2018-04-16T09:16 #:  0 {}
MA TRADER ||  2018-04-16T09:17 #:  0 {}
MA TRADER ||  2018-04-16T09:18 #:  0 {}
MA TRADER ||  2018-04-16T09:19 #:  0 {}
MA TRADER ||  2018-04-16T09:20 #:  0 {}
MA TRADER ||  2018-04-16T09:21 #:  0 {}
MA TRADER ||  2018-04-16T09:22 #:  0 {}
MA TRADER ||  2018-04-16T09:23 #:  0 {}
MA TRADER ||  2018-04-16T09:24 #:  0 {}
MA TRADER ||  2018-04-16T09:25 #:  0 {}
MA TRADER ||  2018-04-16T09:26 #:  0 {}
MA TRADER ||  2018-04-16T09:27 #:  0 {}
MA TRADER ||  2018-04-16T09:28 #:  0 {} last Bar  open: 12600.0  high: 12600.0 low: 12597.5 close: 12597.5  SMA  0.0
Observing MA Touch ||  Time:  09:29  || Last Bar open: 12595.0  high: 12600.0 low: 12592.5 close: 12597.5  || SMA60  12573.9
 no touch 
MA TRADER ||  2018-04-16T09:29 #:  0 {} last Bar  open: 12595.0  high: 12600.0 low: 12592.5 close: 12597.5  SMA  12573.895833333334
Observing MA Touch ||  Time:  09:30  || Last Bar open: 12595.0  high: 12605.0 low: 12570.0 close: 12580.0  || SMA60  12573.9
MA TRADER ||  2018-04-16T09:30 #:  0 {} last Bar  open: 12595.0  high: 12605.0 low: 12570.0 close: 12580.0  SMA  12573.895833333334
 touching MA, playing clip 
Observing MA Touch ||  Time:  09:31  || Last Bar open: 12572.5  high: 12572.5 low: 12555.0 close: 12567.5  || SMA60  12574.21
MA TRADER ||  2018-04-16T09:31 #:  0 {} last Bar  open: 12572.5  high: 12572.5 low: 12555.0 close: 12567.5  SMA  12574.208333333334
 no touch 
Observing MA Touch ||  Time:  09:32  || Last Bar open: 12572.5  high: 12572.5 low: 12550.0 close: 12552.5  || SMA60  12574.21
MA TRADER ||  2018-04-16T09:32 #:  0 {} last Bar  open: 12572.5  high: 12572.5 low: 12550.0 close: 12552.5  SMA  12574.208333333334
 no touch 
Observing MA Touch ||  Time:  09:33  || Last Bar open: 12572.5  high: 12577.5 low: 12542.5 close: 12572.5  || SMA60  12574.21
 touching MA, playing clip 
2018-04-16T09:33:15.213  MA Trade || bidding @  BUY LMT 1.0  at  12572.5
MA TRADER ||  2018-04-16T09:33 #:  0 {} last Bar  open: 12572.5  high: 12577.5 low: 12542.5 close: 12572.5  SMA  12574.208333333334
2018-04-16T09:34:15.214  MA Trade || bidding @  BUY LMT 1.0  at  12595.0
MA TRADER ||  2018-04-16T09:34 #:  0 {} last Bar  open: 12572.5  high: 12600.0 low: 12542.5 close: 12597.5  SMA  12574.208333333334
Observing MA Touch ||  Time:  09:34  || Last Bar open: 12572.5  high: 12600.0 low: 12542.5 close: 12597.5  || SMA60  12574.21
 touching MA, playing clip 
2018-04-16T09:35:15.213  MA Trade || bidding @  BUY LMT 1.0  at  12597.5
MA TRADER ||  2018-04-16T09:35 #:  0 {} last Bar  open: 12572.5  high: 12600.0 low: 12542.5 close: 12597.5  SMA  12574.208333333334
Observing MA Touch ||  Time:  09:35  || Last Bar open: 12572.5  high: 12600.0 low: 12542.5 close: 12597.5  || SMA60  12574.21
 touching MA, playing clip 
MA TRADER ||  2018-04-16T09:35 #:  0 {} last Price  open: 12605.0  high: 12610.0 low: 12602.5 close: 12605.0  SMA  0.0
MA TRADER ||  2018-04-16T09:36 #:  0 {} last Price  open: 12600.0  high: 12607.5 low: 12595.0 close: 12597.5  SMA  12574.270833333334
Observing MA Touch ||  Time:  09:36  || Last Bar open: 12600.0  high: 12607.5 low: 12595.0 close: 12597.5  || SMA60  12574.27
 no touch 
Observing MA Touch ||  Time:  09:37  || Last Bar open: 12600.0  high: 12607.5 low: 12580.0 close: 12580.0  || SMA60  12574.27
MA TRADER ||  2018-04-16T09:37 #:  0 {} last Price  open: 12600.0  high: 12607.5 low: 12580.0 close: 12580.0  SMA  12574.270833333334
 no touch 
Observing MA Touch ||  Time:  09:38  || Last Bar open: 12600.0  high: 12607.5 low: 12557.5 close: 12560.0  || SMA60  12574.27
MA TRADER ||  2018-04-16T09:38 #:  0 {} last Price  open: 12600.0  high: 12607.5 low: 12557.5 close: 12560.0  SMA  12574.270833333334
 touching MA, playing clip 
MA TRADER ||  2018-04-16T09:39 #:  0 {} last Price  open: 12600.0  high: 12607.5 low: 12535.0 close: 12540.0  SMA  12574.270833333334
Observing MA Touch ||  Time:  09:39  || Last Bar open: 12600.0  high: 12607.5 low: 12535.0 close: 12540.0  || SMA60  12574.27
 touching MA, playing clip 
2018-04-16T09:40:46.774  MA Trade || selling @  SELL LMT 1.0  at  12537.5
MA TRADER ||  2018-04-16T09:40 #:  1 {2018-04-16T09:40:46.774=SELL LMT 1.0  at  12537.5} last Price  open: 12600.0  high: 12607.5 low: 12525.0 close: 12535.0  SMA  12574.270833333334
Observing MA Touch ||  Time:  09:40  || Last Bar open: 12600.0  high: 12607.5 low: 12525.0 close: 12535.0  || SMA60  12574.27
 touching MA, playing clip 
MA TRADER ||  2018-04-16T09:41 #:  1 {2018-04-16T09:40:46.774=SELL LMT 1.0  at  12537.5} last Price  open: 12520.0  high: 12527.5 low: 12510.0 close: 12517.5  SMA  12574.0625
Observing MA Touch ||  Time:  09:41  || Last Bar open: 12520.0  high: 12527.5 low: 12510.0 close: 12517.5  || SMA60  12574.06
 no touch 
MA TRADER ||  2018-04-16T09:42 #:  1 {2018-04-16T09:40:46.774=SELL LMT 1.0  at  12537.5} last Price  open: 12520.0  high: 12527.5 low: 12502.5 close: 12515.0  SMA  12574.0625
Observing MA Touch ||  Time:  09:42  || Last Bar open: 12520.0  high: 12527.5 low: 12502.5 close: 12515.0  || SMA60  12574.06
 no touch 
Observing MA Touch ||  Time:  09:43  || Last Bar open: 12520.0  high: 12527.5 low: 12502.5 close: 12515.0  || SMA60  12574.06
MA TRADER ||  2018-04-16T09:43 #:  1 {2018-04-16T09:40:46.774=SELL LMT 1.0  at  12537.5} last Price  open: 12520.0  high: 12527.5 low: 12502.5 close: 12515.0  SMA  12574.0625
 no touch 
MA TRADER ||  2018-04-16T09:44 #:  0 {} last Price  open: 12507.5  high: 12512.5 low: 12502.5 close: 12510.0  SMA  0.0  last trade time  2018-04-16T09:44:29.006
Observing MA Touch ||  Time:  09:45  || Last Bar open: 12517.5  high: 12535.0 low: 12502.5 close: 12535.0  || SMA60  12574.06
MA TRADER ||  2018-04-16T09:45 #:  0 {} last Price  open: 12517.5  high: 12535.0 low: 12502.5 close: 12535.0  SMA  12574.0625  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:46  || Last Bar open: 12522.5  high: 12525.0 low: 12515.0 close: 12520.0  || SMA60  12573.1
MA TRADER ||  2018-04-16T09:46 #:  0 {} last Price  open: 12522.5  high: 12525.0 low: 12515.0 close: 12520.0  SMA  12573.104166666666  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:47  || Last Bar open: 12522.5  high: 12525.0 low: 12510.0 close: 12517.5  || SMA60  12573.1
MA TRADER ||  2018-04-16T09:47 #:  0 {} last Price  open: 12522.5  high: 12525.0 low: 12510.0 close: 12517.5  SMA  12573.104166666666  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:48  || Last Bar open: 12522.5  high: 12525.0 low: 12495.0 close: 12500.0  || SMA60  12573.1
MA TRADER ||  2018-04-16T09:48 #:  0 {} last Price  open: 12522.5  high: 12525.0 low: 12495.0 close: 12500.0  SMA  12573.104166666666  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:49  || Last Bar open: 12522.5  high: 12525.0 low: 12492.5 close: 12515.0  || SMA60  12573.1
MA TRADER ||  2018-04-16T09:49 #:  0 {} last Price  open: 12522.5  high: 12525.0 low: 12492.5 close: 12515.0  SMA  12573.104166666666  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:50  || Last Bar open: 12522.5  high: 12525.0 low: 12492.5 close: 12510.0  || SMA60  12573.1
MA TRADER ||  2018-04-16T09:50 #:  0 {} last Price  open: 12522.5  high: 12525.0 low: 12492.5 close: 12510.0  SMA  12573.104166666666  last trade time  2018-04-16T09:44:29.006
 no touch 
Observing MA Touch ||  Time:  09:51  || Last Bar open: 12510.0  high: 12515.0 low: 12502.5 close: 12510.0  || SMA60  12572.02
MA TRADER ||  2018-04-16T09:51 #:  0 {} last Price  open: 12510.0  high: 12515.0 low: 12502.5 close: 12510.0  SMA  12572.020833333334  last trade time  2018-04-16T09:44:29.006
 no touch 
MA TRADER ||  2018-04-16T09:52 #:  0 {} last Price  open: 12517.5  high: 12522.5 low: 12515.0 close: 12515.0  SMA  0.0  last trade time  2018-04-16T09:51
CANCELLING ALL ORDERS  2018-04-16T09:52
Observing MA Touch ||  Time:  09:53  || Last Bar open: 12507.5  high: 12522.5 low: 12502.5 close: 12505.0  || SMA60  12572.04
MA TRADER ||  2018-04-16T09:53 #:  0 {} last Price  open: 12507.5  high: 12522.5 low: 12502.5 close: 12505.0  SMA  12572.041666666666  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T09:54 #:  0 {} last Price  open: 12507.5  high: 12522.5 low: 12492.5 close: 12500.0  SMA  12572.041666666666  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  09:54  || Last Bar open: 12507.5  high: 12522.5 low: 12492.5 close: 12500.0  || SMA60  12572.04
 no touch 
Observing MA Touch ||  Time:  09:55  || Last Bar open: 12507.5  high: 12522.5 low: 12492.5 close: 12492.5  || SMA60  12572.04
MA TRADER ||  2018-04-16T09:55 #:  0 {} last Price  open: 12507.5  high: 12522.5 low: 12492.5 close: 12492.5  SMA  12572.041666666666  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T09:56 #:  0 {} last Price  open: 12475.0  high: 12477.5 low: 12470.0 close: 12470.0  SMA  12570.75  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  09:56  || Last Bar open: 12475.0  high: 12477.5 low: 12470.0 close: 12470.0  || SMA60  12570.75
 no touch 
CANCELLING ALL ORDERS  2018-04-16T09:57
Observing MA Touch ||  Time:  09:57  || Last Bar open: 12475.0  high: 12477.5 low: 12460.0 close: 12467.5  || SMA60  12570.75
MA TRADER ||  2018-04-16T09:57 #:  0 {} last Price  open: 12475.0  high: 12477.5 low: 12460.0 close: 12467.5  SMA  12570.75  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  09:58  || Last Bar open: 12475.0  high: 12477.5 low: 12460.0 close: 12472.5  || SMA60  12570.75
MA TRADER ||  2018-04-16T09:58 #:  0 {} last Price  open: 12475.0  high: 12477.5 low: 12460.0 close: 12472.5  SMA  12570.75  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  09:59  || Last Bar open: 12475.0  high: 12492.5 low: 12460.0 close: 12487.5  || SMA60  12570.75
MA TRADER ||  2018-04-16T09:59 #:  0 {} last Price  open: 12475.0  high: 12492.5 low: 12460.0 close: 12487.5  SMA  12570.75  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  10:00  || Last Bar open: 12475.0  high: 12495.0 low: 12460.0 close: 12482.5  || SMA60  12570.75
MA TRADER ||  2018-04-16T10:00 #:  0 {} last Price  open: 12475.0  high: 12495.0 low: 12460.0 close: 12482.5  SMA  12570.75  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T10:01 #:  0 {} last Price  open: 12487.5  high: 12490.0 low: 12487.5 close: 12487.5  SMA  12569.145833333334  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  10:01  || Last Bar open: 12487.5  high: 12490.0 low: 12487.5 close: 12487.5  || SMA60  12569.15
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:02
MA TRADER ||  2018-04-16T10:02 #:  0 {} last Price  open: 12487.5  high: 12490.0 low: 12477.5 close: 12487.5  SMA  12569.145833333334  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  10:02  || Last Bar open: 12487.5  high: 12490.0 low: 12477.5 close: 12487.5  || SMA60  12569.15
 no touch 
Observing MA Touch ||  Time:  10:03  || Last Bar open: 12487.5  high: 12495.0 low: 12477.5 close: 12492.5  || SMA60  12569.15
MA TRADER ||  2018-04-16T10:03 #:  0 {} last Price  open: 12487.5  high: 12495.0 low: 12477.5 close: 12492.5  SMA  12569.145833333334  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T10:04 #:  0 {} last Price  open: 12487.5  high: 12502.5 low: 12477.5 close: 12497.5  SMA  12569.145833333334  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  10:04  || Last Bar open: 12487.5  high: 12502.5 low: 12477.5 close: 12497.5  || SMA60  12569.15
 no touch 
Observing MA Touch ||  Time:  10:05  || Last Bar open: 12487.5  high: 12505.0 low: 12477.5 close: 12502.5  || SMA60  12569.15
MA TRADER ||  2018-04-16T10:05 #:  0 {} last Price  open: 12487.5  high: 12505.0 low: 12477.5 close: 12502.5  SMA  12569.145833333334  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  10:06  || Last Bar open: 12500.0  high: 12500.0 low: 12500.0 close: 12500.0  || SMA60  12567.69
MA TRADER ||  2018-04-16T10:06 #:  0 {} last Price  open: 12500.0  high: 12500.0 low: 12500.0 close: 12500.0  SMA  12567.6875  last trade time  2018-04-16T09:51
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:07
Observing MA Touch ||  Time:  10:07  || Last Bar open: 12500.0  high: 12505.0 low: 12480.0 close: 12482.5  || SMA60  12567.69
MA TRADER ||  2018-04-16T10:07 #:  0 {} last Price  open: 12500.0  high: 12505.0 low: 12480.0 close: 12482.5  SMA  12567.6875  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T10:08 #:  0 {} last Price  open: 12500.0  high: 12505.0 low: 12477.5 close: 12480.0  SMA  12567.6875  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  10:08  || Last Bar open: 12500.0  high: 12505.0 low: 12477.5 close: 12480.0  || SMA60  12567.69
 no touch 
Observing MA Touch ||  Time:  10:09  || Last Bar open: 12500.0  high: 12505.0 low: 12477.5 close: 12480.0  || SMA60  12567.69
MA TRADER ||  2018-04-16T10:09 #:  0 {} last Price  open: 12500.0  high: 12505.0 low: 12477.5 close: 12480.0  SMA  12567.6875  last trade time  2018-04-16T09:51
 no touch 
MA TRADER ||  2018-04-16T10:10 #:  0 {} last Price  open: 12500.0  high: 12505.0 low: 12475.0 close: 12477.5  SMA  12567.6875  last trade time  2018-04-16T09:51
Observing MA Touch ||  Time:  10:10  || Last Bar open: 12500.0  high: 12505.0 low: 12475.0 close: 12477.5  || SMA60  12567.69
 no touch 
Observing MA Touch ||  Time:  10:11  || Last Bar open: 12470.0  high: 12470.0 low: 12470.0 close: 12470.0  || SMA60  12566.15
MA TRADER ||  2018-04-16T10:11 #:  0 {} last Price  open: 12470.0  high: 12470.0 low: 12470.0 close: 12470.0  SMA  12566.145833333334  last trade time  2018-04-16T09:51
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:12
Observing MA Touch ||  Time:  10:12  || Last Bar open: 12470.0  high: 12472.5 low: 12460.0 close: 12470.0  || SMA60  12566.15
MA TRADER ||  2018-04-16T10:12 #:  0 {} last Price  open: 12470.0  high: 12472.5 low: 12460.0 close: 12470.0  SMA  12566.145833333334  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  10:13  || Last Bar open: 12470.0  high: 12472.5 low: 12457.5 close: 12460.0  || SMA60  12566.15
MA TRADER ||  2018-04-16T10:13 #:  0 {} last Price  open: 12470.0  high: 12472.5 low: 12457.5 close: 12460.0  SMA  12566.145833333334  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  10:14  || Last Bar open: 12470.0  high: 12472.5 low: 12452.5 close: 12455.0  || SMA60  12566.15
MA TRADER ||  2018-04-16T10:14 #:  0 {} last Price  open: 12470.0  high: 12472.5 low: 12452.5 close: 12455.0  SMA  12566.145833333334  last trade time  2018-04-16T09:51
 no touch 
Observing MA Touch ||  Time:  10:15  || Last Bar open: 12470.0  high: 12472.5 low: 12445.0 close: 12452.5  || SMA60  12566.15
MA TRADER ||  2018-04-16T10:15 #:  0 {} last Price  open: 12470.0  high: 12472.5 low: 12445.0 close: 12452.5  SMA  12566.145833333334  last trade time  2018-04-16T09:51
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:16
MA TRADER ||  2018-04-16T10:16 #:  0 {} last Price  open: 12452.5  high: 12462.5 low: 12452.5 close: 12460.0  SMA  0.0  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:17  || Last Bar open: 12455.0  high: 12470.0 low: 12452.5 close: 12465.0  || SMA60  12564.04
MA TRADER ||  2018-04-16T10:17 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12452.5 close: 12465.0  SMA  12564.041666666666  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:18  || Last Bar open: 12455.0  high: 12470.0 low: 12452.5 close: 12462.5  || SMA60  12564.04
MA TRADER ||  2018-04-16T10:18 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12452.5 close: 12462.5  SMA  12564.041666666666  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:19  || Last Bar open: 12455.0  high: 12470.0 low: 12452.5 close: 12457.5  || SMA60  12564.04
MA TRADER ||  2018-04-16T10:19 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12452.5 close: 12457.5  SMA  12564.041666666666  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:20  || Last Bar open: 12455.0  high: 12470.0 low: 12452.5 close: 12457.5  || SMA60  12564.04
MA TRADER ||  2018-04-16T10:20 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12452.5 close: 12457.5  SMA  12564.041666666666  last trade time  2018-04-16T10:16
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:21
MA TRADER ||  2018-04-16T10:21 #:  0 {} last Price  open: 12455.0  high: 12455.0 low: 12450.0 close: 12452.5  SMA  12561.9375  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:21  || Last Bar open: 12455.0  high: 12455.0 low: 12450.0 close: 12452.5  || SMA60  12561.94
 no touch 
Observing MA Touch ||  Time:  10:22  || Last Bar open: 12455.0  high: 12467.5 low: 12445.0 close: 12465.0  || SMA60  12561.94
MA TRADER ||  2018-04-16T10:22 #:  0 {} last Price  open: 12455.0  high: 12467.5 low: 12445.0 close: 12465.0  SMA  12561.9375  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:23  || Last Bar open: 12455.0  high: 12470.0 low: 12445.0 close: 12467.5  || SMA60  12561.94
MA TRADER ||  2018-04-16T10:23 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12445.0 close: 12467.5  SMA  12561.9375  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:24  || Last Bar open: 12455.0  high: 12470.0 low: 12445.0 close: 12465.0  || SMA60  12561.94
 no touch 
MA TRADER ||  2018-04-16T10:24 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12445.0 close: 12465.0  SMA  12561.9375  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:25  || Last Bar open: 12455.0  high: 12470.0 low: 12445.0 close: 12467.5  || SMA60  12561.94
MA TRADER ||  2018-04-16T10:25 #:  0 {} last Price  open: 12455.0  high: 12470.0 low: 12445.0 close: 12467.5  SMA  12561.9375  last trade time  2018-04-16T10:16
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:26
MA TRADER ||  2018-04-16T10:26 #:  0 {} last Price  open: 12472.5  high: 12472.5 low: 12470.0 close: 12470.0  SMA  12559.791666666666  last trade time  2018-04-16T10:16
